id,name,country,age,premier,bundes,seriea,spain
23099,kevin foley,United Kingdom,31,1,0,0,0
23115,leon barnett,United Kingdom,30,1,0,0,0
23133,adam drury,United Kingdom,38,1,0,0,0
23134,jason shackell,United Kingdom,33,1,0,0,0
23139,dean ashton,United Kingdom,32,1,0,0,0
23144,jurgen colin,Netherlands,35,0,0,0,1
23163,akos buzsaky,Hungary,34,1,0,0,0
23170,matt derbyshire,United Kingdom,30,1,0,0,0
23185,graham alexander,United Kingdom,44,1,0,0,0
23190,david nugent,United Kingdom,31,1,0,0,0
23193,matthew hill,United Kingdom,35,1,0,0,0
23225,stephen hunt,Ireland,35,1,0,0,0
23253,glenn whelan,Ireland,32,1,0,0,0
23257,chris brunt,United Kingdom,31,1,0,0,0
23264,gabriel agbonlahor,United Kingdom,29,1,0,0,0
23265,patrick kenny,United Kingdom,38,1,0,0,0
23268,phil jagielka,United Kingdom,34,1,0,0,0
23275,michael tonge,United Kingdom,33,1,0,0,0
23283,steve sidwell,United Kingdom,33,1,0,0,0
23284,ibrahima sonko,Senegal,35,1,0,0,0
23285,glen little,United Kingdom,40,1,0,0,0
23286,leroy lita,Congo [DRC],31,1,0,0,0
23291,kevin doyle,Ireland,33,1,0,0,0
23293,shane long,Ireland,29,1,0,0,0
23299,brett ormerod,United Kingdom,39,1,0,0,0
23305,nathan dyer,United Kingdom,28,1,0,0,0
23307,steve simonsen,United Kingdom,37,1,0,0,0
23311,clint hill,United Kingdom,37,1,0,0,0
23314,mamady sidibe,Mali,36,1,0,0,0
23333,seyi olofinjana,Nigeria,36,1,0,0,0
23334,jody craddock,United Kingdom,41,1,0,0,0
23349,clarke carlisle,United Kingdom,36,1,0,0,0
23352,marlon king,United Kingdom,36,1,0,0,0
23354,ashley young,United Kingdom,31,1,0,0,0
23370,martin paterson,United Kingdom,29,1,0,0,0
23371,carl dickinson,United Kingdom,29,1,0,0,0
23377,garry monk,United Kingdom,37,1,0,0,0
23425,greg halford,United Kingdom,31,1,0,0,0
23426,wayne brown,United Kingdom,39,1,0,0,0
23431,chris iwelumo,United Kingdom,38,1,0,0,0
23435,george elokobi,Cameroon,30,1,0,0,0
23438,richard garcia,Australia,35,1,0,0,0
23453,paul rachubka,United States,35,1,0,0,0
23464,gary taylor-fletcher,United Kingdom,35,1,0,0,0
23499,aaron wilbraham,United Kingdom,36,1,0,0,0
23528,andrew crofts,United Kingdom,32,1,0,0,0
23538,matt jarvis,United Kingdom,30,1,0,0,0
23563,caleb folan,United Kingdom,33,1,0,0,0
23571,wes morgan,United Kingdom,32,1,0,0,0
23579,james perch,United Kingdom,31,1,0,0,0
23587,felix bastians,Germany,28,0,1,0,0
23605,dean windass,United Kingdom,47,1,0,0,0
23628,pierre wome,Cameroon,37,0,1,0,0
23629,andrew surman,South Africa,30,1,0,0,0
23678,alex song,Cameroon,29,1,0,0,1
23686,manuel almunia,Spain,39,1,0,0,0
23688,mathieu flamini,France,32,1,0,1,0
23727,marc tierney,United Kingdom,31,1,0,0,0
23732,matthew connolly,United Kingdom,29,1,0,0,0
23736,keith southern,United Kingdom,35,1,0,0,0
23779,quincy owusu-abeyie,Netherlands,30,1,0,0,1
23780,aaron hughes,United Kingdom,36,1,0,0,0
23782,gareth barry,United Kingdom,35,1,0,0,0
23783,gary cahill,United Kingdom,30,1,0,0,0
23785,jlloyd samuel,Trinidad and Tobago,35,1,0,0,0
23787,liam ridgewell,United Kingdom,32,1,0,0,0
23788,luke moore,United Kingdom,30,1,0,0,0
23792,steven davis,United Kingdom,31,1,0,0,0
23793,stuart taylor,United Kingdom,35,1,0,0,0
23806,peter whittingham,United Kingdom,32,1,0,0,0
23813,maik taylor,Germany,45,1,0,0,0
23818,matthew upson,United Kingdom,37,1,0,0,0
23819,mikael forssell,Germany,35,0,1,0,0
23823,daniel fox,United Kingdom,30,1,0,0,0
23839,sone aluko,United Kingdom,27,1,0,0,0
23849,mark gower,United Kingdom,37,1,0,0,0
23853,walter pandiani,Uruguay,40,0,0,0,1
23866,andrew keogh,Ireland,30,1,0,0,0
23881,alan tate,United Kingdom,34,1,0,0,0
23889,aaron mokoena,South Africa,35,1,0,0,0
23922,steven reid,United Kingdom,35,1,0,0,0
23927,el hadji diouf,Senegal,35,1,0,0,0
23934,kevin davies,United Kingdom,39,1,0,0,0
