"home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11"
26173,36395,38215,97491,27550,30789,34045,114492,37321,38848,39805,37377,29631,8932,37326,25364,37384,34413,37385,38183,94916,37389
31299,36008,27607,28435,43061,39843,33336,36051,42331,12246,27514,27299,27303,27461,30704,27307,38913,30702,25773,26437,35997,30249
27341,39834,37380,35607,27346,27349,25483,30821,34400,36072,30854,30648,27774,37401,36146,41559,30628,34114,38188,43211,27326,40203
30703,39841,59582,40093,38213,36775,147729,36011,35411,78990,35996,27424,27427,128037,27492,43210,34681,NA,27429,30937,31199,27556
27284,30711,33085,30459,30894,30872,38244,38843,30924,30638,32118,26173,36395,97491,39810,27550,94915,30789,114492,37321,34045,38848
27424,27427,128037,27492,43210,27429,34681,49939,30937,27556,31199,25524,30668,26778,37787,33338,30749,34650,39106,33101,30987,30764
30648,34113,36146,37401,38842,42346,30628,34114,43211,27642,27326,29303,39841,59582,27411,38213,95574,147729,36775,78990,36011,35411
27299,27303,68253,30704,27307,27483,27461,38913,26437,30249,30702,27358,30255,71399,20396,94685,27363,30707,27365,27335,36132,34102
27504,12330,69923,34420,37317,19511,30902,94156,39902,27324,15403,24104,37332,30819,30693,103089,27336,31244,36130,29356,25819,30886
36058,37201,38170,27451,27460,27462,36007,27418,34262,47551,30266,31299,36008,27607,28435,43061,36051,39843,39844,33336,42331,27514
33339,9124,NA,33082,16368,39796,40923,38828,39734,70610,37558,35991,27310,28480,35606,35989,30706,31235,30252,26257,30827,37550
38793,25948,31187,27412,24632,26472,58358,27306,29257,31936,71353,27341,39834,25483,35607,27346,27349,27314,30821,34400,36072,23819
37377,25364,8932,38672,29631,33686,38183,34413,94916,37385,37389,NA,27472,27475,26383,95904,36060,38863,NA,27484,69864,37760
25524,30668,26778,37787,33338,34650,30749,39106,30987,33101,30764,27504,12330,69923,30902,37317,38725,19511,27339,27324,15403,30445
27358,30255,71399,20396,94685,40190,30707,36132,27365,31718,35990,29303,39841,59582,95574,38213,29622,147729,78990,36011,35411,35996
35991,35989,28480,35606,27315,30706,42321,36378,31235,25366,37550,27284,30711,39774,30459,38843,38244,30688,27300,30872,30924,30638
24104,37332,30819,30693,103089,27336,31244,36130,29356,25819,30886,38793,24632,25948,27412,36380,36390,27306,26472,29257,71353,31936
NA,27472,27475,26383,27471,36060,27478,27484,80564,69864,139822,27299,27303,27301,30704,27307,27461,27483,38913,26437,30249,2862
26173,36395,97491,39810,27550,94915,30789,114492,34045,37321,38848,36058,36056,38170,39828,27460,36007,27451,27418,47551,34262,30266
31299,36008,27607,28435,43061,39843,36051,33336,42331,12246,30652,33339,9124,33082,42221,33285,40923,39796,70610,38828,39734,37558
27341,30811,35607,25483,27346,27314,27349,30821,34400,36072,39840,27424,30754,30253,27492,43210,27429,34681,49939,30937,31199,27556
37377,25364,8932,95081,37381,33686,37389,34413,94916,37385,37048,30648,34113,36146,29471,41559,42346,38188,97752,22535,27326,40203
27284,30711,39774,33085,30894,30459,38843,27300,30872,32118,30638,27341,30811,35607,25483,27346,27314,27349,30821,34400,36072,39840
27424,27427,30253,128037,43210,27429,34681,49939,30937,27556,31199,31299,30434,27607,28435,43061,39843,36051,12246,33336,42331,27514
30648,34113,36146,29471,27774,42346,30628,34114,22535,40203,27326,27358,27360,71399,20396,414794,40190,27365,27363,36132,35990,31718
27299,27303,68253,30704,27307,27461,27483,25773,26437,30249,2862,26173,36395,97491,38215,27550,30789,114492,94915,37321,34045,38848
30820,12330,30902,69923,37317,19511,30530,27324,39902,30445,15403,37377,25364,8932,95081,37381,37387,33686,38183,34413,37385,37389
36058,36056,27451,39828,27460,27462,36007,27418,34262,47551,24138,27467,27472,27471,26383,95904,36060,38863,41923,27478,27484,139822
33339,9124,42221,33082,33285,70610,39796,40923,38828,39734,37558,24104,103089,30819,30693,37332,36130,27336,31244,29356,25819,30886
38793,24632,25948,27412,36380,31187,26472,29257,27306,71353,31936,25524,46887,36183,37787,33338,30749,34650,39106,30987,30496,30764
29303,29543,59582,27411,38213,39841,95574,78990,40176,35996,35411,27313,27310,35606,30252,27315,26257,42321,27316,31235,25366,37550
25524,37156,34650,37787,30987,46887,30749,36066,30764,33101,30496,33339,16368,42221,NA,9124,45189,39796,40923,26799,39734,37558
27313,27315,41927,30252,27310,30706,26545,36378,31235,25366,30827,30648,27774,37401,34113,38842,42346,30628,34114,22535,40203,27326
24104,37332,30819,30693,103089,27336,31244,36130,25819,29356,30886,27424,27427,30253,128037,43210,27429,34681,34267,30937,27556,31199
30820,12330,30902,69923,37317,34420,27324,19511,39902,30445,15403,37322,27303,68253,30704,27307,27461,27483,25773,26437,30249,2862
27467,167065,27475,26383,95904,27471,36060,41923,27478,27484,69864,29303,39841,59582,27411,38213,95574,147729,36775,78990,35996,35411
