"season","home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11"
"2008/2009",41466,30279,38458,NA,40599,37436,30958,32043,38362,31020,38551,33018,111190,37451,34104,41167,30271,37793,37449,37447,34956,37445
"2008/2009",30657,30658,25921,30649,28467,37259,32765,30840,25759,30834,34602,75195,75199,NA,38561,74435,38008,38550,102374,NA,74721,38526
"2008/2009",32657,33988,37482,30661,30738,39854,26146,154257,26169,33639,150250,37579,33896,37581,80497,18664,33634,37512,32999,33892,35638,38382
"2008/2009",33986,39562,33812,38138,30866,33991,34000,95509,38139,33989,34969,38520,74743,23144,74739,74752,33887,78404,37425,24383,38004,34582
"2008/2009",75390,37470,32675,37427,37468,37474,37471,30468,37461,37469,37506,46531,31303,30750,37667,37426,25571,33655,33665,34233,38578,18164
"2008/2009",33958,37434,42310,37440,37423,75474,37448,74747,38035,18628,102572,25563,28439,33768,38385,75196,24099,33773,18592,32766,24852,32764
"2008/2009",96623,37597,33022,43374,2790,38431,33586,18395,33820,33729,39142,39989,37413,33636,30689,34103,25924,38492,33632,30832,30663,38700
"2008/2009",33826,33843,5233,41707,38025,33666,150491,37450,32763,38479,43310,33764,33025,33993,37604,154938,96619,150323,37410,33866,33030,30277
"2008/2009",96613,74403,74663,18501,37622,37419,5243,75239,38581,46384,75310,19435,34007,34029,37479,34008,38701,30666,37824,2802,41468,30909
"2008/2009",33845,24131,30276,33849,33861,37491,37631,37411,56686,33028,25574,24591,72541,11778,33874,38521,42369,33870,38424,30907,33641,108809
"2008/2009",32657,33988,30661,37482,30738,39854,36615,30955,30981,33639,30626,75195,75199,38561,NA,75206,74721,75216,150498,38008,38550,102002
"2008/2009",30657,30962,34520,25921,30670,30834,18814,23988,30878,30655,25759,33753,33756,37451,34104,41167,37793,33758,38573,33761,37441,37452
"2008/2009",41466,33733,NA,38824,40599,37436,30958,42479,37478,38699,38551,74736,72541,33865,33874,38521,38424,26044,42369,30907,37507,23853
"2008/2009",37439,37491,30276,33849,33861,38922,37631,38160,37411,38398,33028,109222,34007,34029,30752,34575,30994,30448,2802,37459,41468,34231
"2008/2009",33986,33848,33812,33990,30866,33992,31014,30443,38139,34106,33989,37579,33634,33828,33885,80497,35638,37512,32999,33892,38567,150644
"2008/2009",75390,37470,32675,37427,37468,41156,27420,37471,37461,37474,38044,NA,74751,33895,74739,74752,33611,33887,NA,38004,74770,41294
"2008/2009",33958,37434,42310,37440,99333,38036,75474,74747,38035,75398,102572,30855,31303,2977,33655,37426,42173,30273,38889,25571,33668,38578
"2008/2009",30990,37597,33022,38065,2790,33586,38431,75192,6911,33729,39142,25563,28439,33768,38385,75196,24099,18592,33872,24852,37429,150330
"2008/2009",33827,33843,25913,41707,38479,102612,38151,11758,37450,43310,32763,30664,33636,30839,30689,32656,30663,25924,38700,33871,38460,37412
"2008/2009",96613,74403,74404,74663,37622,75239,11555,4902,45605,43329,75310,33764,154938,33027,159881,96617,30277,33024,96619,NA,97257,150832
"2008/2009",37579,33634,33885,33828,80497,35638,37512,32999,74213,38567,150644,32657,33988,30740,37482,30738,39854,36615,154257,30955,33639,30626
"2008/2009",75195,75199,75206,38561,74435,75216,38008,150498,38550,38526,102002,30657,30962,25921,34520,30670,30834,23988,18814,30878,30655,25759
"2008/2009",33018,33756,37451,34104,41167,33758,37793,38573,33761,37441,37446,41466,30279,NA,56678,40599,37436,30958,38746,37478,31020,38551
"2008/2009",74736,72541,33865,33874,38521,38424,33870,42369,30907,30744,23853,37439,38922,33849,30276,33861,38160,37631,31498,38398,37411,33028
"2008/2009",NA,74743,75395,75608,74752,78404,33611,37425,38004,24383,34582,33986,38148,38138,33990,30866,33759,95509,33991,31014,38139,34969
