"home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11"
39599,18923,24412,24403,39763,39222,24405,39538,41326,39474,41411,39323,39423,27721,33413,41488,39555,35641,27661,37525,31304,27690
30713,39422,35112,39419,24622,39207,31288,34540,33337,49677,32747,37503,39314,18823,39274,37768,42901,18816,56992,39699,39271,39706
41243,27701,41874,114769,30285,19310,25595,27703,39340,39203,32749,27697,24484,24793,33414,41667,33706,27672,32597,39539,24549,32748
39351,27720,30453,27693,24130,30682,37545,27695,39376,33782,38822,42422,24970,39643,27719,39357,25818,39644,111862,39232,41542,27734
37503,39314,18823,39274,37768,42901,18816,56992,39699,37520,39706,27691,50074,24792,23947,39229,24854,41754,37541,39393,30284,42041
27560,21982,39185,41942,41384,39428,41432,24457,42460,41445,24456,50669,27678,27785,39441,42482,49940,39738,41865,39557,34531,27663
24503,39621,24504,39304,24536,24502,33888,24507,24506,30881,39311,30713,39422,39191,39419,24622,39426,31288,39367,33337,49677,32747
18558,41666,32769,27668,39509,24546,41887,41309,41658,18925,24624,56829,30474,39731,25584,16351,39444,39334,41629,39332,18506,25597
39323,41488,27721,39423,33413,39555,27661,30940,35641,39752,31304,30717,32574,30736,41884,24791,27287,32937,41890,96540,38827,30712
42702,27660,31214,37526,41760,41757,26852,41882,37767,30549,40601,30989,34305,30928,30716,150466,30460,30930,30724,30696,35724,108808
39477,42008,113762,26315,25479,42003,39286,27731,39264,24448,39337,39599,24414,24412,24403,39763,24391,24405,39538,41326,41411,42091
34530,34952,30890,26099,34534,23688,30731,30870,30612,46554,30729,39170,41930,39210,39201,41497,39190,42579,27671,27599,42645,42696
39599,18923,24412,24403,39763,24391,24405,39222,41326,39474,42091,42702,39455,37526,41882,41760,41758,41757,27684,37767,30549,40601
35626,109298,27719,41318,37515,25549,25818,111862,39232,41542,50047,37503,39314,18823,39274,37768,39267,18816,56992,42035,96534,39706
30713,39422,35112,39419,24622,39207,31288,39367,33337,49677,32747,27560,21982,39185,39726,30983,39428,19436,41432,42460,41445,24456
30717,30861,30736,41884,24791,27287,41890,30871,96540,30712,30727,41243,27701,41874,114769,30285,39203,39340,27703,25595,42433,32749
